City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,saint-felix-de-valois,46.1668,-73.4324,15.18,97,96,2.25,CA,1693645970
316,lihue,21.9789,-159.3672,26.77,73,100,9.77,US,1693645970
317,guerrero negro,27.9769,-114.0611,23.15,85,0,1.9,MX,1693645971
318,ikaalinen,61.7695,23.0658,18.19,63,36,3.21,FI,1693645971
319,volovets,48.7109,23.1851,21.35,51,33,3.76,UA,1693645972
320,novodvinsk,64.4165,40.8122,24.76,52,27,3.55,RU,1693645972
321,rabaul,-4.1967,152.1721,26.39,73,85,8.12,PG,1693645972
322,el triunfo,-1.9333,-79.9667,24.02,78,87,2.07,EC,1693645973
323,ouarzazat,30.9189,-6.8934,29.16,8,0,3.09,MA,1693645973
324,kaoma,-14.7833,24.8,30.21,11,0,3.22,ZM,1693645973
325,suzhou,31.3114,120.6181,27.05,65,29,4.73,CN,1693645781
326,asaita,11.5636,41.4394,36.38,30,70,2.82,ET,1693645974
327,miranda,3.2499,-76.2281,18.07,77,68,1.54,CO,1693645974
328,lycksele,64.5954,18.6735,13.57,94,75,3.09,SE,1693645974
329,touros,-5.1989,-35.4608,23.2,90,31,4.75,BR,1693645974
330,fulton,33.7668,-84.4499,22.19,70,40,3.09,US,1693645975
331,princeville,45.7668,-61.2985,12.95,89,0,2.06,CA,1693645975
332,walvis bay,-22.9575,14.5053,15.05,58,0,3.66,NA,1693645975
333,mossel bay,-34.1831,22.146,15.96,47,0,0.96,ZA,1693645976
334,al muwayh,22.4333,41.7583,39.03,13,14,5.37,SA,1693645976
335,callao,-12.0667,-77.15,19.84,82,100,3.6,PE,1693645977
336,menongue,-14.6585,17.691,30.55,9,1,3.58,AO,1693645977
337,greenville,35.6127,-77.3663,15.63,95,0,0.0,US,1693645874
338,havre,49.5833,0.3333,18.52,94,75,3.6,FR,1693645977
339,caluula,11.9661,50.7569,29.62,72,1,5.01,SO,1693645977
340,port moresby,-9.4431,147.1797,24.68,73,75,5.14,PG,1693645978
341,lata,40.1629,-8.3327,19.49,91,100,1.5,PT,1693645978
342,kupang,-10.1667,123.5833,29.32,45,20,3.6,ID,1693645978
343,weyburn,49.6668,-103.8511,14.12,62,100,3.6,CA,1693645978
344,lashio,22.9333,97.75,21.67,98,79,1.76,MM,1693645697
345,kourou,5.1552,-52.6478,22.03,86,13,3.02,GF,1693645979
346,sitia,35.2,26.0986,28.88,61,0,10.2,GR,1693645979
347,cockburn town,21.4612,-71.1419,28.49,74,100,2.87,TC,1693645979
348,greenland,43.0362,-70.8328,14.5,91,20,2.57,US,1693645979
349,maile,-38.9466,-72.3727,-1.66,97,53,1.45,CL,1693645980
350,karratha,-20.7377,116.8463,27.56,36,22,8.05,AU,1693645980
351,tralee,52.2704,-9.7026,15.14,100,100,1.03,IE,1693645981
352,esmeraldas,-19.7625,-44.3139,19.85,93,17,2.3,BR,1693645981
353,puerto francisco de orellana,-0.4667,-76.9667,20.91,98,25,0.66,EC,1693645981
354,saint-francois,46.4154,3.9054,24.26,60,0,2.57,FR,1693645982
355,saudarkrokur,65.7461,-19.6394,12.85,72,100,12.2,IS,1693645982
356,yanqul,23.5905,56.5501,38.62,26,0,0.55,OM,1693645983
357,sarkand,45.41,79.9186,26.54,23,11,3.48,KZ,1693645983
358,meadow lake,34.8014,-106.5436,23.12,31,67,0.5,US,1693645983
359,portland,45.5234,-122.6762,20.05,82,20,1.79,US,1693645826
360,totness,5.8833,-56.3167,25.31,92,12,3.93,SR,1693645984
361,le vauclin,14.5452,-60.8388,24.03,94,0,1.03,MQ,1693645984
362,brezina,33.0989,1.2608,28.21,35,100,7.0,DZ,1693645984
